volume,tipo,caratteri
V001,1_interazione,3199
V001,2_interazione,688
V001,3_interazione,1162
V001,4_angoscia/delusione,2879
V001,5_interazione,1529
V001,6_spostamento,113
V001,7_angoscia/delusione,2208
V001,8_interazione,4563
V001,9_spostamento,671
V001,10_angoscia/delusione,136
V001,11_interazione,1137
V001,12_smarrimento/dubbio,1048
V001,13_intenzione,773
V001,14_angoscia/delusione,2080
V001,15_intenzione,1549
V001,16_spostamento,232
V001,17_smarrimento/dubbio,3010
V001,18_smarrimento/dubbio,10789
V001,19_intenzione,928
V001,20_interazione,3792
V001,21_spostamento,81
V001,22_intenzione,1042
V001,23_spostamento,877
V001,24_illusione/speranza,482
V001,25_interazione,965
V001,26_smarrimento/dubbio,1188
V001,27_pausa/sospensione,203
V001,28_morte,0
V001,29_spostamento,909
V001,30_interazione,1224
V001,31_angoscia/delusione,935
V001,32_racconto incastonato,2275
V001,33_interazione,1462
V001,34_smarrimento/dubbio,451
V001,35_intenzione,717
V001,36_angoscia/delusione,1587
V001,37_interazione,1519
V001,38_smarrimento/dubbio,1219
V001,39_interazione,8661
V001,40_spostamento,738
V001,41_interazione,5226
V001,42_spostamento,333
V001,43_interazione,13350
V001,44_spostamento,792
V001,45_attesa,1959
V001,46_spostamento,2210
V001,47_illusione/speranza,661
V001,48_angoscia/delusione,479
V001,49_interazione,12557
V001,50_spostamento,353
V001,51_interazione,2671
V001,52_illusione/speranza,1922
V001,53_interazione,1664
V001,54_interazione,93097
V001,55_pausa/sospensione,13078
V001,56_situazione,1982
V001,57_interazione,21330
V001,58_spostamento,1096
V001,59_angoscia/delusione,772
V001,60_illusione/speranza,1245
V001,61_angoscia/delusione,708
V001,62_interazione,313
V001,63_spostamento,226
V001,64_interazione,405
V001,65_spostamento,423
V001,66_illusione/speranza,503
V001,67_rivelazione,674
V001,68_angoscia/delusione,563
V001,69_interazione,1904
V001,70_rivelazione,830
V001,71_spostamento,149
V001,72_smarrimento/dubbio,433
V001,73_interazione,5563
V002,74_struttura,16624
V002,75_struttura,9906
V002,76_struttura,8487
V002,77_struttura,13871
V002,78_struttura,8291
V002,79_struttura,9042
V002,80_struttura,10063
V002,81_struttura,9860
V002,82_struttura,14313
V002,83_struttura,9240
V002,84_struttura,7418
V002,85_struttura,12987
V002,86_struttura,15582
V002,87_struttura,19473
V002,88_struttura,13175
V002,89_struttura,11391
V002,90_struttura,10457
V002,91_struttura,10809
V002,92_struttura,14887
V002,93_struttura,15495
V002,94_struttura,9702
V002,95_struttura,8658
V002,96_struttura,14106
V002,97_struttura,21698
V002,98_struttura,19767
V002,99_struttura,12910
V002,100_struttura,14101
V002,101_struttura,15971
V002,102_struttura,12933
V002,103_struttura,10472
V003,104_angoscia/delusione,8658
V003,105_situazione,6822
V003,106_spostamento,5643
V003,107_interazione,664
V003,108_interazione,1761
V003,109_spostamento,2689
V003,110_interazione,1052
V003,111_interazione,1664
V003,112_interazione,1127
V003,113_interazione,3855
V003,114_interazione,2127
V003,115_interazione,4751
V003,116_interazione,4350
V003,117_interazione,2352
V003,118_interazione,2659
V003,119_interazione,14264
V003,120_interazione,2069
V003,121_interazione,10828
V003,122_smarrimento/dubbio,1171
V003,123_interazione,4046
V003,124_interazione,1974
V003,125_interazione,3563
V003,126_interazione,1493
V003,127_interazione,970
V003,128_mistero/assurdità,2970
V003,129_interazione,5856
V003,130_interazione,2186
V003,131_interazione,680
V003,132_interazione,3247
V003,133_interazione,7057
V003,134_interazione,2251
V003,135_interazione,2926
V003,136_interazione,1690
V003,137_angoscia/delusione,2354
V003,138_intenzione,7648
V003,139_interazione,4748
V003,140_metanarrazione,2448
V004,141_struttura,51187
V004,142_struttura,27190
V004,143_struttura,39484
V005,144_interazione,682
V005,145_racconto incastonato,18159
V005,146_spostamento,3297
V005,147_spostamento,5988
V005,148_interazione,23428
V005,149_interazione,19359
V005,150_pausa/sospensione,5977
V005,151_interazione,6200
V005,152_spostamento,98
V005,153_interazione,16383
V005,154_spostamento,2721
V005,155_pausa/sospensione,37423
V005,156_interazione,8192
V005,157_pausa/sospensione,3907
V005,158_interazione,76905
V005,159_interazione,21258
V005,160_spostamento,2308
