volume,tipo,caratteri
V001,,3199
V001,interazione,688
V001,interazione,1162
V001,interazione,2879
V001,angoscia/delusione,1529
V001,interazione,113
V001,spostamento,2208
V001,angoscia/delusione,4563
V001,interazione,671
V001,spostamento,136
V001,angoscia/delusione,1137
V001,interazione,1048
V001,smarrimento/dubbio,773
V001,intenzione,2080
V001,angoscia/delusione,1549
V001,intenzione,232
V001,spostamento,3010
V001,smarrimento/dubbio,10789
V001,smarrimento/dubbio,928
V001,intenzione,3792
V001,interazione,81
V001,spostamento,1042
V001,intenzione,877
V001,spostamento,482
V001,illusione/speranza,965
V001,interazione,1188
V001,smarrimento/dubbio,203
V001,pausa/sospensione,0
V001,morte,909
V001,spostamento,1224
V001,interazione,935
V001,angoscia/delusione,2275
V001,racconto incastonato,1462
V001,interazione,451
V001,smarrimento/dubbio,717
V001,intenzione,1587
V001,angoscia/delusione,1519
V001,interazione,1219
V001,smarrimento/dubbio,8661
V001,interazione,738
V001,spostamento,5226
V001,interazione,333
V001,spostamento,13350
V001,interazione,792
V001,spostamento,1959
V001,attesa,2210
V001,spostamento,661
V001,illusione/speranza,479
V001,angoscia/delusione,12557
V001,interazione,353
V001,spostamento,2671
V001,interazione,1922
V001,illusione/speranza,1664
V001,interazione,93097
V001,interazione,13078
V001,pausa/sospensione,1982
V001,situazione,21330
V001,interazione,1096
V001,spostamento,772
V001,angoscia/delusione,1245
V001,illusione/speranza,708
V001,angoscia/delusione,313
V001,interazione,226
V001,spostamento,405
V001,interazione,423
V001,spostamento,503
V001,illusione/speranza,674
V001,rivelazione,563
V001,angoscia/delusione,1904
V001,interazione,830
V001,rivelazione,149
V001,spostamento,433
V001,smarrimento/dubbio,5563
V002,interazione,16624
V002,,9906
V002,struttura,8487
V002,struttura,13871
V002,struttura,8291
V002,struttura,9042
V002,struttura,10063
V002,struttura,9860
V002,struttura,14313
V002,struttura,9240
V002,struttura,7418
V002,struttura,12987
V002,struttura,15582
V002,struttura,19473
V002,struttura,13175
V002,struttura,11391
V002,struttura,10457
V002,struttura,10809
V002,struttura,14887
V002,struttura,15495
V002,struttura,9702
V002,struttura,8658
V002,struttura,14106
V002,struttura,21698
V002,struttura,19767
V002,struttura,12910
V002,struttura,14101
V002,struttura,15971
V002,struttura,12933
V002,struttura,10472
V003,struttura,8658
V003,struttura,6822
V003,,5643
V003,angoscia/delusione,664
V003,situazione,1761
V003,spostamento,2689
V003,interazione,1052
V003,interazione,1664
V003,spostamento,1127
V003,interazione,3855
V003,interazione,2127
V003,interazione,4751
V003,interazione,4350
V003,interazione,2352
V003,interazione,2659
V003,interazione,14264
V003,interazione,2069
V003,interazione,10828
V003,interazione,1171
V003,interazione,4046
V003,interazione,1974
V003,smarrimento/dubbio,3563
V003,interazione,1493
V003,interazione,970
V003,interazione,2970
V003,interazione,5856
V003,interazione,2186
V003,mistero/assurdità,680
V003,interazione,3247
V003,interazione,7057
V003,interazione,2251
V003,interazione,2926
V003,interazione,1690
V003,interazione,2354
V003,interazione,7648
V003,interazione,4748
V003,angoscia/delusione,2448
V004,intenzione,51187
V004,interazione,27190
V004,metanarrazione,39484
V005,,682
V005,struttura,18159
V005,struttura,3297
V005,struttura,5988
V005,,23428
V005,interazione,19359
V005,racconto incastonato,5977
V005,spostamento,6200
V005,spostamento,98
V005,interazione,16383
V005,interazione,2721
V005,pausa/sospensione,37423
V005,interazione,8192
V005,spostamento,3907
V005,interazione,76905
V005,spostamento,21258
V005,pausa/sospensione,2308
V005,interazione,5116
V005,pausa/sospensione,3301
V005,interazione,13727
V005,interazione,16064
