,ID,Cluster tipolegie,somma ripetizioni,
1,V001,,,1_
2,V001,interazione,3199,2_interazione
3,V001,interazione,688,3_interazione
4,V001,interazione,1162,4_interazione
5,V001,angoscia/delusione,2879,5_angoscia/delusione
6,V001,interazione,1529,6_interazione
7,V001,spostamento,113,7_spostamento
8,V001,angoscia/delusione,2208,8_angoscia/delusione
9,V001,interazione,4563,9_interazione
10,V001,spostamento,671,10_spostamento
11,V001,angoscia/delusione,136,11_angoscia/delusione
12,V001,interazione,1137,12_interazione
13,V001,smarrimento/dubbio,1048,13_smarrimento/dubbio
14,V001,intenzione,773,14_intenzione
15,V001,angoscia/delusione,2080,15_angoscia/delusione
16,V001,intenzione,1549,16_intenzione
17,V001,spostamento,232,17_spostamento
18,V001,smarrimento/dubbio,3010,18_smarrimento/dubbio
19,V001,smarrimento/dubbio,10789,19_smarrimento/dubbio
20,V001,intenzione,928,20_intenzione
21,V001,interazione,3792,21_interazione
22,V001,spostamento,81,22_spostamento
23,V001,intenzione,1042,23_intenzione
24,V001,spostamento,877,24_spostamento
25,V001,illusione/speranza,482,25_illusione/speranza
26,V001,interazione,965,26_interazione
27,V001,smarrimento/dubbio,1188,27_smarrimento/dubbio
28,V001,pausa/sospensione,203,28_pausa/sospensione
29,V001,morte,0,29_morte
30,V001,spostamento,909,30_spostamento
31,V001,interazione,1224,31_interazione
32,V001,angoscia/delusione,935,32_angoscia/delusione
33,V001,racconto incastonato,2275,33_racconto incastonato
34,V001,interazione,1462,34_interazione
35,V001,smarrimento/dubbio,451,35_smarrimento/dubbio
36,V001,intenzione,717,36_intenzione
37,V001,angoscia/delusione,1587,37_angoscia/delusione
38,V001,interazione,1519,38_interazione
39,V001,smarrimento/dubbio,1219,39_smarrimento/dubbio
40,V001,interazione,8661,40_interazione
41,V001,spostamento,738,41_spostamento
42,V001,interazione,5226,42_interazione
43,V001,spostamento,333,43_spostamento
44,V001,interazione,13350,44_interazione
45,V001,spostamento,792,45_spostamento
46,V001,attesa,1959,46_attesa
47,V001,spostamento,2210,47_spostamento
48,V001,illusione/speranza,661,48_illusione/speranza
49,V001,angoscia/delusione,479,49_angoscia/delusione
50,V001,interazione,12557,50_interazione
51,V001,spostamento,353,51_spostamento
52,V001,interazione,2671,52_interazione
53,V001,illusione/speranza,1922,53_illusione/speranza
54,V001,interazione,1664,54_interazione
55,V001,interazione,93097,55_interazione
56,V001,pausa/sospensione,13078,56_pausa/sospensione
57,V001,situazione,1982,57_situazione
58,V001,interazione,21330,58_interazione
59,V001,spostamento,1096,59_spostamento
60,V001,angoscia/delusione,772,60_angoscia/delusione
61,V001,illusione/speranza,1245,61_illusione/speranza
62,V001,angoscia/delusione,708,62_angoscia/delusione
63,V001,interazione,313,63_interazione
64,V001,spostamento,226,64_spostamento
65,V001,interazione,405,65_interazione
66,V001,spostamento,423,66_spostamento
67,V001,illusione/speranza,503,67_illusione/speranza
68,V001,rivelazione,674,68_rivelazione
69,V001,angoscia/delusione,563,69_angoscia/delusione
70,V001,interazione,1904,70_interazione
71,V001,rivelazione,830,71_rivelazione
72,V001,spostamento,149,72_spostamento
73,V001,smarrimento/dubbio,433,73_smarrimento/dubbio
74,V001,interazione,5563,74_interazione
75,V002,,,75_
76,V002,struttura,16624,76_struttura
77,V002,struttura,9906,77_struttura
78,V002,struttura,8487,78_struttura
79,V002,struttura,13871,79_struttura
80,V002,struttura,8291,80_struttura
81,V002,struttura,9042,81_struttura
82,V002,struttura,10063,82_struttura
83,V002,struttura,9860,83_struttura
84,V002,struttura,14313,84_struttura
85,V002,struttura,9240,85_struttura
86,V002,struttura,7418,86_struttura
87,V002,struttura,12987,87_struttura
88,V002,struttura,15582,88_struttura
89,V002,struttura,19473,89_struttura
90,V002,struttura,13175,90_struttura
91,V002,struttura,11391,91_struttura
92,V002,struttura,10457,92_struttura
93,V002,struttura,10809,93_struttura
94,V002,struttura,14887,94_struttura
95,V002,struttura,15495,95_struttura
96,V002,struttura,9702,96_struttura
97,V002,struttura,8658,97_struttura
98,V002,struttura,14106,98_struttura
99,V002,struttura,21698,99_struttura
100,V002,struttura,19767,100_struttura
101,V002,struttura,12910,101_struttura
102,V002,struttura,14101,102_struttura
103,V002,struttura,15971,103_struttura
104,V002,struttura,12933,104_struttura
105,V002,struttura,10472,105_struttura
106,V003,,,106_
107,V003,angoscia/delusione,8658,107_angoscia/delusione
108,V003,situazione,6822,108_situazione
109,V003,spostamento,5643,109_spostamento
110,V003,interazione,664,110_interazione
111,V003,interazione,1761,111_interazione
112,V003,spostamento,2689,112_spostamento
113,V003,interazione,1052,113_interazione
114,V003,interazione,1664,114_interazione
115,V003,interazione,1127,115_interazione
116,V003,interazione,3855,116_interazione
117,V003,interazione,2127,117_interazione
118,V003,interazione,4751,118_interazione
119,V003,interazione,4350,119_interazione
120,V003,interazione,2352,120_interazione
121,V003,interazione,2659,121_interazione
122,V003,interazione,14264,122_interazione
123,V003,interazione,2069,123_interazione
124,V003,interazione,10828,124_interazione
125,V003,smarrimento/dubbio,1171,125_smarrimento/dubbio
126,V003,interazione,4046,126_interazione
127,V003,interazione,1974,127_interazione
128,V003,interazione,3563,128_interazione
129,V003,interazione,1493,129_interazione
130,V003,interazione,970,130_interazione
131,V003,mistero/assurdità,2970,131_mistero/assurdità
132,V003,interazione,5856,132_interazione
133,V003,interazione,2186,133_interazione
134,V003,interazione,680,134_interazione
135,V003,interazione,3247,135_interazione
136,V003,interazione,7057,136_interazione
137,V003,interazione,2251,137_interazione
138,V003,interazione,2926,138_interazione
139,V003,interazione,1690,139_interazione
140,V003,angoscia/delusione,2354,140_angoscia/delusione
141,V003,intenzione,7648,141_intenzione
142,V003,interazione,4748,142_interazione
143,V003,metanarrazione,2448,143_metanarrazione
144,V004,,,144_
145,V004,struttura,51187,145_struttura
146,V004,struttura,27190,146_struttura
147,V004,struttura,39484,147_struttura
148,V005,,,148_
149,V005,interazione,682,149_interazione
150,V005,racconto incastonato,18159,150_racconto incastonato
151,V005,spostamento,3297,151_spostamento
152,V005,spostamento,5988,152_spostamento
153,V005,interazione,23428,153_interazione
154,V005,interazione,19359,154_interazione
155,V005,pausa/sospensione,5977,155_pausa/sospensione
156,V005,interazione,6200,156_interazione
157,V005,spostamento,98,157_spostamento
158,V005,interazione,16383,158_interazione
159,V005,spostamento,2721,159_spostamento
160,V005,pausa/sospensione,37423,160_pausa/sospensione
161,V005,interazione,8192,161_interazione
162,V005,pausa/sospensione,3907,162_pausa/sospensione
163,V005,interazione,76905,163_interazione
164,V005,interazione,21258,164_interazione
165,V005,spostamento,2308,165_spostamento
166,V005,interazione,5116,166_interazione
167,V005,spostamento,3301,167_spostamento
168,V005,interazione,13727,168_interazione
169,V005,interazione,16064,169_interazione
170,V005,spostamento,1966,170_spostamento
171,V005,spostamento,2680,171_spostamento
172,V005,angoscia/delusione,7268,172_angoscia/delusione
173,V005,interazione,10079,173_interazione
174,V005,spostamento,2705,174_spostamento
175,V005,pausa/sospensione,12467,175_pausa/sospensione
176,V005,spostamento,3350,176_spostamento
177,V005,angoscia/delusione,1635,177_angoscia/delusione
178,V005,spostamento,7390,178_spostamento
179,V005,interazione,35287,179_interazione
180,V005,interazione,12081,180_interazione
181,V005,spostamento,657,181_spostamento
182,V005,spostamento,2414,182_spostamento
183,V005,angoscia/delusione,2257,183_angoscia/delusione
184,V005,smarrimento/dubbio,6129,184_smarrimento/dubbio
185,V005,interazione,5860,185_interazione
186,V005,interazione,1654,186_interazione
187,V005,interazione,5772,187_interazione
