volume,tipo,caratteri
V001,esteriore,3199
V001,esteriore,688
V001,esteriore,1162
V001,interiore,2879
V001,esteriore,1529
V001,esteriore,113
V001,interiore,2208
V001,esteriore,4563
V001,esteriore,671
V001,interiore,136
V001,esteriore,1137
V001,interiore,1048
V001,esteriore,773
V001,interiore,2080
V001,esteriore,1549
V001,esteriore,232
V001,interiore,3010
V001,interiore,10789
V001,esteriore,928
V001,esteriore,3792
V001,esteriore,81
V001,esteriore,1042
V001,esteriore,877
V001,interiore,482
V001,esteriore,965
V001,interiore,1188
V001,interiore,203
V001,esteriore/interiore,0
V001,esteriore,909
V001,esteriore,1224
V001,interiore,935
V001,forma,2275
V001,esteriore,1462
V001,interiore,451
V001,esteriore,717
V001,interiore,1587
V001,esteriore,1519
V001,interiore,1219
V001,esteriore,8661
V001,esteriore,738
V001,esteriore,5226
V001,esteriore,333
V001,esteriore,13350
V001,esteriore,792
V001,interiore,1959
V001,esteriore,2210
V001,interiore,661
V001,interiore,479
V001,esteriore,12557
V001,esteriore,353
V001,esteriore,2671
V001,interiore,1922
V001,esteriore,1664
V001,esteriore,93097
V001,interiore,13078
V001,esteriore,1982
V001,esteriore,21330
V001,esteriore,1096
V001,interiore,772
V001,interiore,1245
V001,interiore,708
V001,esteriore,313
V001,esteriore,226
V001,esteriore,405
V001,esteriore,423
V001,interiore,503
V001,esteriore/interiore,674
V001,interiore,563
V001,esteriore,1904
V001,esteriore/interiore,830
V001,esteriore,149
V001,interiore,433
V001,esteriore,5563
V002,forma,16624
V002,forma,9906
V002,forma,8487
V002,forma,13871
V002,forma,8291
V002,forma,9042
V002,forma,10063
V002,forma,9860
V002,forma,14313
V002,forma,9240
V002,forma,7418
V002,forma,12987
V002,forma,15582
V002,forma,19473
V002,forma,13175
V002,forma,11391
V002,forma,10457
V002,forma,10809
V002,forma,14887
V002,forma,15495
V002,forma,9702
V002,forma,8658
V002,forma,14106
V002,forma,21698
V002,forma,19767
V002,forma,12910
V002,forma,14101
V002,forma,15971
V002,forma,12933
V002,forma,10472
V003,interiore,8658
V003,esteriore,6822
V003,esteriore,5643
V003,esteriore,664
V003,esteriore,1761
V003,esteriore,2689
V003,esteriore,1052
V003,esteriore,1664
V003,esteriore,1127
V003,esteriore,3855
V003,esteriore,2127
V003,esteriore,4751
V003,esteriore,4350
V003,esteriore,2352
V003,esteriore,2659
V003,esteriore,14264
V003,esteriore,2069
V003,esteriore,10828
V003,interiore,1171
V003,esteriore,4046
V003,esteriore,1974
V003,esteriore,3563
V003,esteriore,1493
V003,esteriore,970
V003,interiore,2970
V003,esteriore,5856
V003,esteriore,2186
V003,esteriore,680
V003,esteriore,3247
V003,esteriore,7057
V003,esteriore,2251
V003,esteriore,2926
V003,esteriore,1690
V003,interiore,2354
V003,esteriore,7648
V003,esteriore,4748
V003,forma,2448
V004,forma,51187
V004,forma,27190
V004,forma,39484
V005,esteriore,682
V005,forma,18159
V005,esteriore,3297
V005,esteriore,5988
V005,esteriore,23428
V005,esteriore,19359
V005,interiore,5977
V005,esteriore,6200
V005,esteriore,98
V005,esteriore,16383
V005,esteriore,2721
V005,interiore,37423
V005,esteriore,8192
V005,interiore,3907
V005,esteriore,76905
V005,esteriore,21258
V005,esteriore,2308
