volume,tipo,caratteri
V001,,
V001,aggressione/scontro,3199
V001,incontro maschile,688
V001,aggressione/scontro,1162
V001,angoscia/delusione,2879
V001,incontro maschile,1529
V001,aggressione/scontro,699
V001,fuga,113
V001,angoscia/delusione,2208
V001,incontro di gruppo,4563
V001,aggressione/scontro,2271
V001,compito/missione,676
V001,aggressione/scontro,1239
V001,fuga,671
V001,angoscia/delusione,136
V001,incontro femminile,1137
V001,smarrimento/dubbio,1048
V001,iniziativa/piano,773
V001,angoscia/delusione,2080
V001,successo,1549
V001,fuga,232
V001,smarrimento/dubbio,3010
V001,visione,328
V001,visione,647
V001,visione,798
V001,smarrimento/dubbio,10789
V001,iniziativa/piano,928
V001,incontro di gruppo,3792
V001,smarrimento/dubbio,1667
V001,angoscia/delusione,958
V001,aggressione/scontro,480
V001,fuga,81
V001,iniziativa/piano,1042
V001,viaggio,877
V001,illusione/speranza,482
V001,aggressione/scontro,965
V001,smarrimento/dubbio,1188
V001,pausa/sospensione,203
V001,morte,0
V001,ritorno,909
V001,aggressione/scontro,1224
V001,angoscia/delusione,935
V001,aggressione/scontro,922
V001,racconto incastonato,2275
V001,angoscia/delusione,910
V001,illusione/speranza,441
V001,aggressione/scontro,1462
V001,smarrimento/dubbio,451
V001,iniziativa/piano,717
V001,angoscia/delusione,1587
V001,incontro maschile,1519
V001,offerta,82
V001,rifiuto,250
V001,smarrimento/dubbio,1219
V001,incontro maschile,8661
V001,offerta,793
V001,rivelazione,1397
V001,aggressione/scontro,2747
V001,iniziativa/piano,831
V001,illusione/speranza,1095
V001,partenza/sparizione,738
V001,incontro maschile,5226
V001,riflessione,996
V001,angoscia/delusione,1977
V001,iniziativa/piano,662
V001,partenza/sparizione,333
V001,compito/missione,1230
V001,incontro maschile,13350
V001,iniziativa/piano,1193
V001,attesa,2144
V001,aggressione/scontro,573
V001,fuga,2436
V001,attesa,1954
V001,smarrimento/dubbio,1136
V001,aggressione/scontro,593
V001,smarrimento/dubbio,2083
V001,partenza/sparizione,792
V001,attesa,1959
V001,visione,1428
V001,viaggio,2210
V001,illusione/speranza,661
V001,angoscia/delusione,479
V001,aiuto/salvataggio,3683
V001,incontro maschile,12557
V001,viaggio,1631
V001,riflessione,1256
V001,arrivo,822
V001,incontro maschile,2632
V001,incontro animale,1267
V001,incontro femminile,1257
V001,partenza/sparizione,353
V001,aggressione/scontro,2671
V001,illusione/speranza,1922
V001,compito/missione,1664
V001,incontro di gruppo,93097
V001,visione,657
V001,incontro maschile,2667
V001,situazione,3045
V001,incontro maschile,2673
V001,smarrimento/dubbio,756
V001,aggressione/scontro,2352
V001,incontro maschile,3472
V001,aggressione/scontro,2110
V001,iniziativa/piano,453
V001,aggressione/scontro,907
V001,partenza/sparizione,446
V001,incontro di gruppo,1829
V001,incontro maschile,2854
V001,pausa/sospensione,1219
V001,smarrimento/dubbio,530
V001,rivelazione,1647
V001,morte,3120
V001,aggressione/scontro,2742
V001,innamoramento,3281
V001,cambiamento,3939
V001,fuga,388
V001,compito/missione,1940
V001,visione,703
V001,partenza/sparizione,905
V001,illusione/speranza,1647
V001,angoscia/delusione,404
V001,smarrimento/dubbio,1177
V001,incontro maschile,2388
V001,compito/missione,354
V001,illusione/speranza,1103
V001,smarrimento/dubbio,1158
V001,incontro maschile,862
V001,aggressione/scontro,5340
V001,incontro maschile,3529
V001,riflessione,1534
V001,incontro maschile,2703
V001,aggressione/scontro,1148
V001,incontro di gruppo,8190
V001,compito/missione,758
V001,rivelazione,1100
V001,angoscia/delusione,1245
V001,iniziativa/piano,605
V001,compito/missione,2010
V001,partenza/sparizione,17506
V001,viaggio,118
V001,riflessione,9048
V001,partenza/sparizione,193
V001,riflessione,843
V001,smarrimento/dubbio,3009
V001,riflessione,2585
V001,illusione/speranza,419
V001,arrivo,1284
V001,attesa,1214
V001,aggressione/scontro,666
V001,angoscia/delusione,1618
V001,iniziativa/piano,1029
V001,riflessione,707
V001,aggressione/scontro,1600
V001,morte,494
V001,partenza/sparizione,130
V001,pausa/sospensione,13078
V001,incontro femminile,834
V001,incontro maschile,837
V001,innamoramento,1516
V001,compito/missione,1544
V001,ritorno,640
V001,compito/missione,1294
V001,ritorno,1440
V001,compito/missione,1195
V001,angoscia/delusione,1461
V001,ritorno,1055
V001,scena erotica,202
V001,guerra,1982
V001,attesa,1756
V001,incontro di gruppo,21330
V001,incontro maschile,1646
V001,rivelazione,618
V001,rivelazione,1145
V001,rivelazione,1042
V001,incontro maschile,4775
V001,rivelazione,343
V001,racconto incastonato,3086
V001,angoscia/delusione,1059
V001,illusione/speranza,284
V001,iniziativa/piano,307
V001,attesa,1129
V001,angoscia/delusione,1596
V001,aggressione/scontro,8333
V001,fuga,1096
V001,angoscia/delusione,772
V001,illusione/speranza,1245
V001,angoscia/delusione,708
V001,incontro di gruppo,313
V001,fuga,226
V001,incontro di gruppo,405
V001,fuga,423
V001,illusione/speranza,503
V001,rivelazione,674
V001,angoscia/delusione,563
V001,incontro femminile,1904
V001,rivelazione,830
V001,fuga,149
V001,smarrimento/dubbio,433
V001,incontro maschile,5563
V001,illusione/speranza,1403
V001,iniziativa/piano,1456
V001,riflessione,702
V001,angoscia/delusione,840
V001,illusione/speranza,356
V002,,
V002,struttura,16624
V002,incontro maschile,3324
V002,offerta,837
V002,rifiuto,2271
V002,offerta,2526
V002,rifiuto,474
V002,offerta,1178
V002,rifiuto,323
V002,offerta,1365
V002,rifiuto,344
V002,offerta,523
V002,rifiuto,48
V002,offerta,643
V002,rifiuto,56
V002,offerta,140
V002,rifiuto,44
V002,aggressione/scontro,1266
V002,offerta,107
V002,rifiuto,48
V002,aggressione/scontro,997
V002,struttura,9906
V002,iniziativa/piano,3810
V002,iniziativa/piano,1289
V002,incontro femminile,3195
V002,incontro di gruppo,540
V002,aggressione/scontro,762
V002,fuga,755
V002,aggressione/scontro,805
V002,fuga,230
V002,iniziativa/piano,540
V002,struttura,8487
V002,iniziativa/piano,590
V002,fuga,1605
V002,iniziativa/piano,1434
V002,iniziativa/piano,548
V002,iniziativa/piano,1171
V002,iniziativa/piano,697
V002,iniziativa/piano,522
V002,incontro maschile,1470
V002,fuga,187
V002,iniziativa/piano,303
V002,struttura,13871
V002,compito/missione,1176
V002,angoscia/delusione,2676
V002,aggressione/scontro,744
V002,iniziativa/piano,1534
V002,visione,1290
V002,angoscia/delusione,1888
V002,pausa/sospensione,732
V002,incontro maschile,763
V002,iniziativa/piano,719
V002,angoscia/delusione,1069
V002,rivelazione,586
V002,aggressione/scontro,661
V002,struttura,8291
V002,viaggio,1526
V002,angoscia/delusione,1275
V002,angoscia/delusione,639
V002,angoscia/delusione,392
V002,angoscia/delusione,1613
V002,iniziativa/piano,1960
V002,aggressione/scontro,861
V002,struttura,9042
V002,viaggio,1287
V002,compito/missione,210
V002,pausa/sospensione,2615
V002,incontro maschile,2049
V002,fallimento,104
V002,fallimento,-39755
V002,fallimento,210
V002,fallimento,456
V002,fallimento,179
V002,partenza/sparizione,548
V002,incontro femminile,787
V002,incontro maschile,1880
V002,angoscia/delusione,292
V002,angoscia/delusione,337
V002,fallimento,477
V002,fallimento,274
V002,fallimento,292
V002,fallimento,203
V002,fallimento,191
V002,struttura,10063
V002,compito/missione,1598
V002,angoscia/delusione,676
V002,incontro di gruppo,1578
V002,angoscia/delusione,621
V002,pausa/sospensione,619
V002,angoscia/delusione,984
V002,pausa/sospensione,438
V002,angoscia/delusione,175
V002,pausa/sospensione,736
V002,angoscia/delusione,199
V002,pausa/sospensione,1165
V002,incontro femminile,889
V002,angoscia/delusione,352
V002,struttura,9860
V002,incontro maschile,3830
V002,compito/missione,1076
V002,compito/missione,1236
V002,compito/missione,129
V002,partenza/sparizione,157
V002,angoscia/delusione,814
V002,incontro femminile,319
V002,angoscia/delusione,1352
V002,fallimento,811
V002,fallimento,574
V002,fallimento,869
V002,fallimento,620
V002,illusione/speranza,488
V002,struttura,14313
V002,angoscia/delusione,1015
V002,incontro maschile,1264
V002,angoscia/delusione,509
V002,incontro femminile,593
V002,angoscia/delusione,787
V002,incontro femminile,928
V002,angoscia/delusione,1209
V002,rivelazione,1210
V002,incontro maschile,839
V002,angoscia/delusione,630
V002,angoscia/delusione,972
V002,angoscia/delusione,1617
V002,angoscia/delusione,898
V002,illusione/speranza,646
V002,angoscia/delusione,1160
V002,struttura,9240
V002,incontro maschile,1057
V002,angoscia/delusione,1315
V002,iniziativa/piano,735
V002,aggressione/scontro,1412
V002,aggressione/scontro,1243
V002,aggressione/scontro,770
V002,angoscia/delusione,632
V002,aggressione/scontro,1617
V002,angoscia/delusione,430
V002,struttura,7418
V002,riflessione,7396
V002,struttura,12987
V002,fuga,637
V002,compito/missione,1141
V002,rivelazione,610
V002,smarrimento/dubbio,1320
V002,incontro maschile,2738
V002,aiuto/salvataggio,462
V002,fuga,401
V002,angoscia/delusione,1996
V002,attesa,1150
V002,angoscia/delusione,383
V002,illusione/speranza,669
V002,incontro di gruppo,795
V002,iniziativa/piano,646
V002,struttura,15582
V002,angoscia/delusione,1996
V002,illusione/speranza,1246
V002,angoscia/delusione,1901
V002,partenza/sparizione,894
V002,incontro maschile,2126
V002,attesa,732
V002,iniziativa/piano,276
V002,angoscia/delusione,4703
V002,visione,1546
V002,visione,1322
V002,illusione/speranza,1666
V002,struttura,19473
V002,visione,1504
V002,iniziativa/piano,627
V002,visione,265
V002,riflessione,382
V002,angoscia/delusione,813
V002,incontro di gruppo,8865
V002,angoscia/delusione,337
V002,incontro di gruppo,716
V002,incontro di gruppo,1762
V002,angoscia/delusione,461
V002,iniziativa/piano,857
V002,visione,3728
V002,angoscia/delusione,408
V002,smarrimento/dubbio,1577
V002,attesa,1553
V002,rivelazione,1085
V002,visione,1280
V002,fuga,685
V002,illusione/speranza,802
V002,struttura,13175
V002,viaggio,1101
V002,riflessione,2133
V002,compito/missione,707
V002,smarrimento/dubbio,1064
V002,angoscia/delusione,893
V002,visione,5797
V002,arrivo,673
V002,successo,781
V002,struttura,11391
V002,attesa,1062
V002,iniziativa/piano,954
V002,compito/missione,1583
V002,viaggio,974
V002,riflessione,2050
V002,successo,342
V002,illusione/speranza,570
V002,fuga,352
V002,incontro di gruppo,3479
V002,incontro di gruppo,791
V002,fuga,193
V002,incontro di gruppo,1358
V002,fuga,75
V002,incontro di gruppo,454
V002,morte,603
V002,struttura,10457
V002,viaggio,9920
V002,smarrimento/dubbio,1416
V002,riflessione,706
V002,smarrimento/dubbio,1125
V002,riflessione,607
V002,smarrimento/dubbio,734
V002,riflessione,502
V002,smarrimento/dubbio,182
V002,riflessione,2497
V002,smarrimento/dubbio,859
V002,riflessione,430
V002,smarrimento/dubbio,650
V002,morte,518
V002,struttura,10809
V002,incontro maschile,1346
V002,riflessione,1349
V002,compito/missione,114
V002,viaggio,1304
V002,iniziativa/piano,1092
V002,successo,149
V002,successo,234
V002,successo,265
V002,successo,197
V002,incontro di gruppo,519
V002,aggressione/scontro,1167
V002,successo,98
V002,inseguimento/ricerca,554
V002,pausa/sospensione,2695
V002,smarrimento/dubbio,415
V002,successo,172
V002,illusione/speranza,150
V002,successo,93
V002,angoscia/delusione,42
V002,successo,57
V002,iniziativa/piano,364
V002,successo,263
V002,angoscia/delusione,120
V002,iniziativa/piano,295
V002,successo,174
V002,smarrimento/dubbio,539
V002,morte,638
V002,struttura,14887
V002,smarrimento/dubbio,1335
V002,angoscia/delusione,984
V002,aggressione/scontro,654
V002,rivelazione,1407
V002,aggressione/scontro,944
V002,attesa,804
V002,aggressione/scontro,-543
V002,illusione/speranza,1202
V002,aggressione/scontro,421
V002,angoscia/delusione,609
V002,aggressione/scontro,418
V002,angoscia/delusione,705
V002,viaggio,2420
V002,illusione/speranza,776
V002,struttura,15495
V002,situazione,929
V002,rivelazione,1492
V002,fuga,879
V002,illusione/speranza,1169
V002,angoscia/delusione,1565
V002,iniziativa/piano,766
V002,angoscia/delusione,741
V002,inseguimento/ricerca,858
V002,smarrimento/dubbio,7259
V002,ostacolo,718
V002,incontro animale,554
V002,ostacolo,552
V002,incontro animale,481
V002,ostacolo,435
V002,incontro animale,638
V002,ostacolo,432
V002,incontro animale,836
V002,ostacolo,394
V002,incontro animale,492
V002,ostacolo,614
V002,incontro animale,1112
V002,morte,385
V002,successo,186
V002,struttura,9702
V002,incontro maschile,1183
